Source	Destination	KM 
Khalapur	Changsari	8925
Medchal	Coimbatore	8160
Yadadri Bhuvana	Hosur	5680
Yadadri Bhuvana	Coimbatore	5250
Yadadri Bhuvana	Kollam	4137
Dewas	Manguli	4134
Nagpur	Changsari	4090
Nagpur	Dhulagori	3780
Chandauli	Ghaziabad	3620
Yadadri Bhuvana	Chennai	3210
Khalapur	Kolhapur	2975
Yadadri Bhuvana	Tiruchirappalli	2931
Varanasi	Dhulagori	2900
Varanasi	Manguli	2748
Neemrana	Thane	2684
Kanpur Nagar	Saharanpur	2656
Chandauli	Manguli	2637
Varanasi	Ghaziabad	2592
Bailhongal	Kollam	2446
Changsari	Dhulagori	2118
Ambernath	Dhulagori	2106
Chandauli	Dhulagori	2061
Kanpur Nagar	Gurgaon	2056
Medchal	Chennai	1998
Dhulagori	Jalpaiguri	1878
Khalapur	Gaya	1854
Mehmedabad	Coimbatore	1824
Bailhongal	Medchal	1821
Raipur	Manguli	1761
Neemrana	Medchal	1690
Gwalior	Indore	1638
Khalapur	Waddhamna	1626
Yadadri Bhuvana	Thane	1614
Khamgaon	Thane	1605
Dewas	Hosur	1602
Mehmedabad	Thane	1581
Raipur	Indore	1534
Gwalior	Jabalpur	1503
Kanpur Nagar	Indore	1490
Varanasi	Purnia	1436
Mehmedabad	Pune	1368
Medchal	Kollam	1348
Yadadri Bhuvana	Bangalore Rural	1286
Yadadri Bhuvana	Vishakhapatnam	1270
Jalgaon	Kolhapur	1238
Khalapur	Coimbatore	1234
Hospet	Coimbatore	1228
Medchal	Bangalore Rural	1226
Dewas	Patna	1188
Kanpur Nagar	Bhopal	1152
Yadadri Bhuvana	Madurai	1125
Ambernath	Hosur	1082
Hospet	Kollam	1068
Dhulagori	Changsari	1052
Jalgaon	Bhopal	1028
Kanpur Nagar	Budhpur	1014
Solapur	Chennai	999
Chandauli	Jaipur	952
Varanasi	Indore	945
Chandauli	Gurgaon	936
Bailhongal	Chennai	876
Dewas	Rohtak	867
Neemrana	Ahmedabad	864
Dewas	Gurgaon	822
Chandauli	Aligarh	809
Neemrana	Bhopal	776
Bailhongal	Coimbatore	768
Vadgaon	Waddhamna	754
Nagpur	Pune	749
Varanasi	Bhopal	747
Hospet	Chennai	722
Dhulagori	Goshala	695
Ahmedabad	Pune	692
Medchal	Hosur	680
Raipur	Bhopal	664
Dewas	Pune	663
Medchal	Vishakhapatnam	659
Khalapur	Indore	656
Solapur	Bangalore Rural	649
Yadadri Bhuvana	Vishakhapatnam	635
Neemrana	Lucknow	633
Dewas	Thane	632
Dhulagori	Patna	624
Changsari	Agartala	606
Ambernath	Indore	597
Bailhongal	Mysuru	595
Neemrana	Udaipur	566
Medchal	Hubli	564
Bailhongal	Thane	549
Yadadri Bhuvana	Waddhamna	537
Ahmedabad	Thane	535
Dewas	Ajmer	533
Vadgaon	Akola	523
